entry_date,direction,entry_spread,exit_date,pnl,fold,pair
2023-01-04,short,165.5753292399644,2023-01-05,5.4997,1,NOC/XOM
2023-01-05,long,160.07560517877232,2023-02-22,-51.4625,1,NOC/XOM
2023-02-23,long,103.09384902256875,2023-03-10,-4.7216,1,NOC/XOM
2023-03-13,long,100.33254751193334,2023-03-15,7.0684,1,NOC/XOM
2023-03-16,short,110.44668407903816,2023-03-17,2.4882,1,NOC/XOM
2023-03-17,long,107.95846501028728,2023-03-20,-2.8263,1,NOC/XOM
2023-03-21,long,91.37587622490497,2023-03-22,1.6379,1,NOC/XOM
2023-03-23,long,97.52552369846688,2023-03-24,9.9081,1,NOC/XOM
2023-03-24,short,107.43360682603196,2023-03-27,4.2875,1,NOC/XOM
2023-03-27,long,103.14614074329785,2023-03-28,-3.4395,1,NOC/XOM
2023-03-28,short,99.70665263368107,2023-03-29,3.3438,1,NOC/XOM
2023-03-29,long,96.36285862005354,2023-03-30,-2.2289,1,NOC/XOM
2023-03-31,short,427.7300920705139,2023-06-27,-42.2125,2,MSFT/NOC
2023-06-28,long,157.22071205497184,2023-06-29,4.014,3,LMT/XOM
2023-06-29,short,161.23466921812997,2023-06-30,-1.3716,3,LMT/XOM
2023-06-30,long,162.60628813219387,2023-07-03,1.5245,3,LMT/XOM
2023-07-03,short,164.13080758825845,2023-07-05,-1.526,3,LMT/XOM
2023-07-05,long,165.65677020541636,2023-07-06,8.8176,3,LMT/XOM
2023-07-06,short,174.47441983291023,2023-07-10,5.5433,3,LMT/XOM
2023-07-10,long,168.93108082000975,2023-07-11,2.3266,3,LMT/XOM
2023-07-11,short,171.2576586883648,2023-07-12,5.3062,3,LMT/XOM
2023-07-12,long,165.95145225229976,2023-07-13,8.9229,3,LMT/XOM
2023-07-13,short,174.87431428557613,2023-07-19,6.5965,3,LMT/XOM
2023-07-19,long,168.2778551625813,2023-07-20,-0.2429,3,LMT/XOM
2023-07-20,short,168.03493550704007,2023-07-21,2.3468,3,LMT/XOM
2023-07-21,long,165.68808660701058,2023-07-24,-2.1325,3,LMT/XOM
2023-07-24,short,163.55558733305458,2023-07-25,2.8566,3,LMT/XOM
2023-07-25,long,160.69903152697145,2023-07-26,0.2132,3,LMT/XOM
2023-07-26,short,160.9122554770119,2023-07-27,4.6883,3,LMT/XOM
2023-07-27,long,156.22396912061754,2023-07-28,3.4474,3,LMT/XOM
2023-07-28,short,159.671353345978,2023-07-31,10.0522,3,LMT/XOM
2023-07-31,long,149.61917144606474,2023-09-21,-45.0907,3,LMT/XOM
2023-09-22,long,33.475382790013725,2023-09-25,1.0413,4,AAPL/MSFT
2023-09-25,short,34.516647469700274,2023-09-26,1.6985,4,AAPL/MSFT
2023-09-26,long,32.81811106712456,2023-10-03,-0.1141,4,AAPL/MSFT
2023-10-03,short,32.70399849176559,2023-10-04,1.2003,4,AAPL/MSFT
2023-10-04,long,31.503678040426166,2023-10-05,1.0588,4,AAPL/MSFT
2023-10-05,short,32.56251911455499,2023-10-06,0.9194,4,AAPL/MSFT
