date,syn_a,syn_b
2024-01-02,267.7052,120.0256
2024-01-03,268.3611,120.4448
2024-01-04,268.7083,120.1062
2024-01-05,266.0153,118.9591
2024-01-08,262.7486,118.3893
2024-01-09,259.8309,117.1283
2024-01-10,260.2343,117.2293
2024-01-11,265.9698,118.9941
2024-01-12,262.9243,118.3752
2024-01-15,261.1761,117.5936
2024-01-16,259.6128,118.2526
2024-01-17,262.1242,118.7414
2024-01-18,260.7008,118.903
2024-01-19,255.0714,117.7158
2024-01-22,255.3817,117.7014
2024-01-23,259.8688,118.6288
2024-01-24,253.5766,116.911
2024-01-25,250.7917,116.3473
2024-01-26,244.6565,113.9621
2024-01-29,239.6649,112.3794
2024-01-30,236.0293,110.1477
2024-01-31,234.5692,109.8852
2024-02-01,230.5566,108.3855
2024-02-02,233.0487,108.7311
2024-02-05,232.7238,108.9405
2024-02-06,233.6676,108.7385
2024-02-07,225.8758,105.7906
2024-02-08,222.9516,105.1866
2024-02-09,220.269,105.1515
2024-02-12,224.8143,105.3037
2024-02-13,220.9672,103.5668
2024-02-14,220.8432,103.0446
2024-02-15,218.9114,101.9618
2024-02-16,217.7403,101.0789
2024-02-19,220.9841,102.2858
2024-02-20,222.8758,101.4015
2024-02-21,221.1675,101.3855
2024-02-22,220.9181,102.3971
2024-02-23,218.1286,101.7622
2024-02-26,216.0233,101.6576
2024-02-27,218.3317,101.8016
2024-02-28,220.5368,101.8934
2024-02-29,216.2129,100.5496
2024-03-01,214.4261,100.654
2024-03-04,217.8182,102.1902
2024-03-05,217.1273,100.4859
2024-03-06,214.6458,101.4606
2024-03-07,216.6355,101.6142
2024-03-08,213.7509,100.9199
2024-03-11,221.358,103.1859
2024-03-12,221.9292,104.0755
2024-03-13,219.0312,102.7321
2024-03-14,217.1598,102.8369
2024-03-15,217.639,103.512
2024-03-18,220.4947,103.318
2024-03-19,224.3525,104.1178
2024-03-20,223.9784,104.0625
2024-03-21,224.656,104.8501
2024-03-22,225.5767,106.5437
2024-03-25,223.8792,105.7759
2024-03-26,225.1212,106.0337
2024-03-27,224.4974,105.5158
2024-03-28,225.3561,105.6848
2024-03-29,220.9469,104.3345
2024-04-01,220.1013,103.6925
2024-04-02,220.2497,103.4896
2024-04-03,225.5471,104.5387
2024-04-04,232.3672,105.8852
2024-04-05,228.9818,104.3756
2024-04-08,225.8516,103.488
2024-04-09,227.7276,104.2478
2024-04-10,221.9261,102.0083
2024-04-11,219.8143,101.5102
2024-04-12,219.9075,101.4219
2024-04-15,221.6032,102.8546
2024-04-16,224.955,103.6583
2024-04-17,224.358,103.3065
2024-04-18,224.2851,102.9091
2024-04-19,223.6853,102.6468
2024-04-22,226.6075,104.4024
2024-04-23,224.2288,103.9328
2024-04-24,223.5298,103.6069
2024-04-25,223.9398,104.0304
2024-04-26,224.5845,103.913
2024-04-29,224.5513,103.7085
2024-04-30,219.7331,102.4658
2024-05-01,220.3991,102.4733
2024-05-02,217.4044,101.995
2024-05-03,219.8828,103.3324
2024-05-06,221.6965,104.0982
2024-05-07,218.5748,104.0914
2024-05-08,221.3149,104.8805
2024-05-09,221.517,104.51
2024-05-10,224.6881,105.7477
2024-05-13,224.6278,105.7626
2024-05-14,226.1973,106.4648
2024-05-15,221.8141,104.9846
2024-05-16,223.0109,105.4068
2024-05-17,218.4621,103.4882
2024-05-20,214.3034,101.2172
2024-05-21,212.1132,100.8989
2024-05-22,211.141,99.925
2024-05-23,212.5499,100.1255
2024-05-24,218.57,102.6492
2024-05-27,216.3625,101.7347
2024-05-28,216.4825,101.059
2024-05-29,214.5765,101.3079
2024-05-30,217.3623,101.8792
2024-05-31,217.9967,101.702
2024-06-03,218.5692,101.4922
2024-06-04,221.5287,102.2999
2024-06-05,222.1051,102.9072
2024-06-06,219.5336,101.7641
2024-06-07,220.9745,101.6958
2024-06-10,222.234,101.7557
2024-06-11,220.3169,100.6023
2024-06-12,218.5224,100.9104
2024-06-13,217.814,99.9826
2024-06-14,222.6726,101.0776
2024-06-17,225.18,101.3124
2024-06-18,225.9155,101.4323
2024-06-19,221.7098,100.7951
2024-06-20,223.3443,100.6838
2024-06-21,218.3154,98.5151
2024-06-24,211.1674,97.3161
2024-06-25,213.1112,97.7248
2024-06-26,205.7149,95.4824
2024-06-27,205.8518,96.395
2024-06-28,201.2098,94.5801
2024-07-01,205.8908,95.3898
2024-07-02,203.7079,94.5256
2024-07-03,206.4799,95.3581
2024-07-04,210.3478,95.5147
2024-07-05,209.8491,93.9324
2024-07-08,212.5836,95.251
2024-07-09,215.58,96.793
2024-07-10,213.2158,96.7423
2024-07-11,211.5131,96.4705
2024-07-12,212.1629,96.3203
2024-07-15,210.7858,95.3117
2024-07-16,213.7197,96.4897
2024-07-17,214.3612,95.9344
2024-07-18,212.8699,95.8996
2024-07-19,211.0145,95.0854
2024-07-22,210.9812,94.4517
2024-07-23,209.115,93.1521
2024-07-24,213.8969,94.468
2024-07-25,214.105,94.3269
